字段2,字段3
"
美中高层对话再登场，吴祚来：短期内美中分歧无法通过对话解决
",美中高层对话据报星期三（10月6日）在瑞士举行。据最先报出这个消息的香港英文《南华早报》引用消息来源的话报道，中共负责外事工作的政治局委员杨洁篪和美国总统国家安全顾问杰克·沙利文这次会谈的目标是重建沟通管道，落实中国国家主席习近平和美国总统拜登达成的共识。拜登政府上台以来，美中高层举行过至少两次接触，不过，都没有取得具体进展。最新的这次双边高层接触正值美中关系因为台湾、南中国海、新冠病毒溯源等问题升级之际，沙利文和杨洁篪的会谈是否能够实现目标？美国之音记者陆杨连线采访旅美独立时评人吴祚来，做相关点评。
"
“潘多拉文件”上榜中共权贵寥寥无几，行事更收敛还是更狡猾？
",她不认为此次调查揭露出来的中国权贵人数少，与中国的反腐有很大关系... 高光俊也认为，“潘多拉文件”没有曝光出来，并不代表中共官员就是清白的，而有可能是一些运作变得更难以被发现... 富翁、日照钢铁实际控制人杜双华如何在承认行贿之后，力拓集团仍然继续与他交易；还有一名中国人如何在为美团创始人提供建议后获得价值5600万美元的美团股票，这些股票存在一个离岸信托之中... 
"
8月份美贸易逆差创纪录 对华货物贸易逆差蹿升
",美国贸易逆差8月份增加到创纪录的733亿美元，虽然美国的出口略有增加，但远远比不上进口的大幅增长... 美国对中国的货物贸易逆差8月份激增了10.8%... 贸易逆差是指一个国家对世界其他地方的出口与该国从其他地方的进口之间的差额... 美国8月份的出口增加了0.5%，为2137亿美元，这反映了海外需求的回升... 但是，即使港口出现了供应链问题... 拜登政府执政数月来一直在审议美中经济关系... 
"
两岸情势紧张之际 澳大利亚前总理阿博特抵达台湾访问
",阿博特上星期在澳大利亚联邦议会一场有关CPTPP的听证会上表示，澳大利亚政府不应该因为担心激化与中国的紧张关系，而阻碍接受台湾加入CPTPP的申请... 阿博特执政期间重视澳中贸易关系，尤其注意在美中之间保持平衡，不希望过于亲美而得罪北京... 黄恩浩认为，澳大利亚安全与印太区域安全息息相关，“澳大利亚必须与志同道合的伙伴合作，而台湾是澳大利亚印太政策中重要的一环
"
白宫证实：沙利文与杨洁篪将在瑞士会面以缓解紧张关系升级
",白宫发布的新闻稿说，沙利文和杨洁篪将对拜登9月9日与习近平的通话采取后续行动，继续寻求负责任地管理美中两国之间的竞争... 路透社表示，美中关系在前总统特朗普时期急剧恶化，而拜登政府也因香港、新疆与2019冠状病毒疾大流行病的溯源等多项议题，维持对中国施压... 今年3月，美中高层官员国务卿布林肯和国家安全顾问沙利文与杨洁篪和外长王毅在阿拉斯加举行二对二面谈... 
"
蔡英文总统警告：台湾若落入中共之手，将产生“灾难性”后果
",台湾总统蔡英文警告说，台湾如果落入中国之手... 不过，解放军10月4日出动56架次军机侵入台湾西南防空识别区不仅被看作是对台湾的威胁，而且也被视为对美英日等6国大规模海军联合军演的回应... 蔡英文在《外交事务》双月刊上发表的文章中指出，北京当局从未放弃对台湾的野心，中国军事支出持续二位数的成长，在台海及周边海域军事扩张，北京当局日渐强势的姿态已经取代了其对和平解决争端... 
"
日本新首相与美国总统通话：保卫尖阁诸岛的承诺“特别坚定”
",白宫星期一也在一份新闻稿中说，拜登总统当天与日本新首相岸田文雄通话，称两位领导人重申了美日同盟的坚韧，说这是印太地区和世界和平、安全与稳定的基石，总统期待着与首相一道强化两国关系，包括应用四方安全对话机制Quad推进印太地区的自由与开放... 一些观察人士认为这是北京将双边关系紧张归咎对方并要求对方改变立场而施加压力的惯常做法
"
中国能成功阻挠台湾加入CPTPP吗？
",尽管一般认为，中国现行贸易制度与CPTPP标榜的... 案，曾在奥巴马政府内担任代理副贸易代表的温迪·卡特勒(Wendy Cutler)最近在《外交政策》期刊一篇分析中指出，或许中国加入CPTPP的动机是想要阻止台湾成为会员，也或许是受到澳英美三边安全伙伴关系(AUKUS)的影响，无论如何，清楚的是中国正式申请加入CPTPP，对它只有好处没有坏处，一方面北京可以借... 
"
白宫：密切关注北京对台“挑衅” 五角大楼：对台安全承诺“坚如磐石”
",在北京过去四天内对台湾防空识别区进行目前... “美方有关言论严重违反一个中国原则和中美三个联合公报规定，对外发出极为错误和不负责任的信号... “一段时间来，美方在售台武器、加强美台官方军事联系等方面消极动作不断，包括出台7.5亿美元售台武器计划，美军机降落台岛，军舰频频过航台湾海峡等，”她说... “这些挑衅行动损害中美关系，破坏地区和平稳定，中方坚决反对并采取必要应对措施... 
"
白宫要义: 中共百架军机绕台，白宫: 对台承诺坚若磐石; 戴琪将与刘鹤通话，宣布对中贸易策略
",在智库战略与国际研究中心时宣布，她将开始与中国贸易官员直接接触，并检视中国是否遵守第一阶段美中贸易协议的承诺，而美国也清楚知道中国有可能根本不会改变其不公平贸易行为，故拜登政府不放弃... 在星期一的白宫新闻简报会上，被问到美国是否担忧中国加入CPTPP，白宫发言人莎琪说，中国几个星期前才提出申请，美国已经跟这些盟友们有长期并深厚的关系
"
VOA卫视美国观察 中国军机绕台数量破纪录，白宫：对台承诺坚若磐石
",北京时间早上6点广播节目，电视、广播同步播出VOA卫视美国观察。 “VOA卫视 美国观察”掌握美国最重要的消息，深入解读美国选举，政治，经济，外交，人文，美中关系等全方位话题。节目邀请重量级嘉宾参与讨论。从国会殿堂到村里小巷，“VOA卫视 美国观察”是您了望美国生活的最佳媒介。
"
对华贸易政策揭晓 戴琪：寻求对话 但保持对北京施压
",国会众议院外交事务委员会共和党首席议员麦考尔... 戴琪在星期一的讲话中表示，拜登政府几个月来对美中贸易关系进行了全面评估，认为中国长期以来未能全面遵守国际贸易规范，而且近年来北京已经加倍强调其以国家为中心的经济体系... 或许是为了更好地向中国民众传达美方立场，戴琪在演说后以简体中文在推特上发推表示，“希望您已经观看我概述拜登和哈里斯政府美中贸易政策愿景的讲话... 
"
北京大机群侵扰台湾后，美英3艘航母举行联合军演
",在中国军机大机群在星期五（10日1日）和星期六连续两天侵扰台湾之后，包括美英3艘航空母舰在内的6国17艘舰艇随即于星期六和星期天两天在冲绳西南方的菲律宾海举行联合演习... 根据日本海上自卫队星期一发布的一份新闻稿，刚刚结束在中东部署的美国海军里根... 台湾蔡英文总统2016年主政以来，由于北京认定蔡政府奉行台独的政策，因此切断了与台湾的所有官方往来，两岸关系也跌入谷底... 
"
美国务卿布林肯出访巴黎力争修复美法盟友关系
",专家表示，他们预计与法国有深厚个人关系的布林肯会利用这次机会力争改善美法关系... 美国国务院上周五发表声明表示，“国务卿布林克还将会晤法国外长，继续就进一步加强关键的美法关系所涉及的广泛问题进行讨论，讨论话题包括印太地区安全、气候危机、从2019新冠病毒大流行病中恢复经济、跨大西洋关系，以及与我们的盟友及伙伴合作，解决全球挑战和机遇问题... 
"
从世界尾端到印太尖端: AUKUS“核潜艇”协议的真实涵义
",因为近几年由于中美关系紧张无可调解，澳大利亚意图同时和两强交好的空间愈发紧缩，因此改弦易辙，正式公开地选择和美国站边... 而美军的核动力潜舰中，虽然洛杉矶级(Los Angeles Class) 潜舰服役较久，但水下静音能力约105-110分贝，比解放军的093型核攻击潜舰优越，静音的性能与核反应堆能力有关，连中共内部都坦承美国技术至少超越中共20至30年... 
"
等来了：美国星期一宣布对华贸易政策评估 戴琪将与刘鹤通话
","宣布四大对中贸易具体做法 与刘鹤通话
在星期天下午一个拜登政府跨部会的背景简报会中，几位资深官员宣布，美国贸易代表戴琪在10月4号星期一于美国华盛顿智库战略与国际研究中心... 拜登了解美中经济关系不仅有关税跟贸易，为了从长远跟整体层面下手，除了重新审议美中贸易协议第一阶段执行情况，拜登总统也与国会合作，在研究、科学、基础建设等方面进行明智的投资，并增强... "
"
朝鲜官方媒体称，朝韩热线将于周一恢复
",朝鲜领导人金正恩上周表示愿意重新开通这些热线... 朝鲜在8月初切断了这些热线，以抗议美韩联合军事演习... 官方的朝中社说，这些线路将于周一上午9点（格林威治标准时间1200）重新连接，但要求首尔履行缓和紧张的跨境关系的“任务”，但没有详细说明... 朝中社说：“韩国当局应该做出积极努力，使南北关系走上正确的轨道，解决必须优先处理的重要任务，以开辟未来的光明前景... 
"
VOA卫视美国观察 重大施政议程在国会受阻 拜登如何应对党内分歧？
",北京时间早上6点广播节目，电视、广播同步播出VOA卫视美国观察。 “VOA卫视 美国观察”掌握美国最重要的消息，深入解读美国选举，政治，经济，外交，人文，美中关系等全方位话题。节目邀请重量级嘉宾参与讨论。从国会殿堂到村里小巷，“VOA卫视 美国观察”是您了望美国生活的最佳媒介。
"
《尚气》获全球赞誉却踢到中国民族主义铁板
",美国迪斯尼公司旗下的漫威影业制作的《尚... 以来获得巨大票房成功，在全球获得3亿6千6百万票房收入，成为新冠病毒大流行病期间最成功的电影，但在全球最大电影市场的中国，由于不断膨胀的民族主义和美中紧张关系，这部影片至今不能上映... 报道援引专家表示，美中关系的恶化、中国不断高涨的民族主义和电影角色来自以往漫画书中的“种族主义”刻板印象，都是该片至今无法进入中国市场的原因... 
"
美国务院谴责北京连续军事胁迫台湾损害台海及区域和平稳定
",我们将继续协助台湾维持充分的自卫能力，我们将维持我们在三个公报、台湾关系法和六项保证中所陈列的承诺... 就在美国国务院发表声明前不久，中共解放军又在10月3日连续第3天派大批军机侵扰台湾西南防空识别区（ADIZ... 就在一天前的10月1日中共建政日当天，解放军出动了38架次军机进入同一空域，其中10架歼-16深入台湾南方及东南方空域，对台湾展示其武力的规模之大，前所未有... 
"
谁能抢先加入CPTPP? 台海两岸新挑战
","南洋理工大学拉惹勒南国际研究院副教授李明江(照片提供:李明江)
在对外方面，当前美中关系紧张，在美方看似极力想跟中国“脱钩”的现况下，分析人士说，中国申请加入CPTPP也代表其愿意... 外交家杂志主编夏舒(照片提供:夏舒)
对于中国的入会案，中国鹰派党报《环球时报》透过社评乐观地表示，该申请案将巩固北京在全球贸易中的主导地位，并使美国越来越孤立... "
"
谁能抢先加入CPTPP? 台海两岸新挑战
",中国和台湾于9月中旬先后递交申请，要加入由日本、澳大利亚等11国合组的《全面与进步跨太平洋伙伴关系协议》(CPTPP)。尽管入会之路漫长，但两岸间已经剑拔弩张。基于“一中原则”，中国强力反对台湾参与任何国际组织，但台湾陆委会则反驳称，加入区域自贸协定是台湾的国际权力，中国无权置喙。到底中国为何急着在此时入群，是要倒逼国内深化经济改革，还是要分化美、日并阻绝美国重返CPTPP的可能性?中国此举引发各方关注。
"
孟晚舟获释，华为禁令现转机？
",华为首席财务官孟晚舟在与美国司法部... 她虽然没有对美国的指控“认罪”，但是在协议随附的事实陈述中承认，她在担任华为首席财务官期间，向银行做出虚假陈述，隐瞒华为与在伊朗有业务的星通科技之间的关系，导致这家金融机构提供的服务违反了美国对伊朗的制裁... 分析认为，孟晚舟案所代表的不只是她个人是否获释，而是美中两国之间围绕下一代通讯技术的较量，而华为更是两国间科技竞争的象征... 
"
吴钊燮：中国知台不会“开第一枪”加大灰带施压测试美台反应
",协会主席卜睿哲(Richard Bush)问吴钊燮，他希望美国如何协助台湾应对当前所面对的挑战并推进美台关系，吴钊燮表示，美台之间目前对台湾最重要的3件事就是加强双边经贸关系，无论是自由贸易协定或双边协定对台湾与国际社会的经济连结都有极大帮助；其次是美台应有更多安全关系，双方也应该增加对台海各种可能突发情况的讨论，台湾的防卫能力也必须继续增强... 
"
美国观察(2021年9月30日)
",VOA卫视《美国观察》掌握美国最重要的消息，深入解读美国选举，政治，经济，外交，人文，美中关系等全方位话题。节目邀请重量级嘉宾参与讨论。从国会殿堂到村里小巷，VOA卫视《美国观察》是您全面了解美国的最佳媒介。
"
台湾陆委会修订两岸条例 严控关键技术人员前往大陆
",台海两岸之间虽然人员交流密集、贸易往来频繁，官方关系却陷入冰点... 在美中战略竞争中常常被美国在高科技领域“卡脖子”的北京往往会想方设法从台湾高科技产业寻求、收买或窃取关键技术... 陆委会在星期三发表的公告中并没有谈及受到管控的具体国家核心关键技术内容，但是表示会授权科技部牵头会商有关机关，研擬订定高度专业性的核心关键技术标准，政府也将以严谨的态度审慎评估，并... 
"
中国给澳核潜艇协议贴“核扩散”标签 - 有些牵强
",法国外长指责其两位... 阿克顿说，《不扩散核武器条约》并没有禁止无核武器国家获得核动力潜艇，并补充说，“国际原子能机构的保障体系允许它们让‘非禁止的军事活动’中的核材料免受针对这类活动的保障体系限制... 自9·11事件以来，美国已花费了10亿多美元将当年美苏两国出口至10多个国家的 研究堆 从武器级燃料转变为低浓缩铀燃料，美国现在向无核武器国家出口武器级铀会是件傻事... 
"
美国商务部长：中国政府阻止航空公司购买波音客机
",美国商务部长指责中国政府未遵守两国去年签署的一项贸易协议，并阻止中国的... 中国占波音公司客机全球市场的四分之一，但是，美中关系持续恶化给波音公司与中国之间的合作发展前景增添了不确定性... 中国商务部今年8月表示，在双边贸易方面，中国与美国保持着“正常沟通”，称今年前7个月，中美双边货物贸易额同比增长40%，其中，中国自美进口同比增长50.4%，对美出口增长36.9%... 
"
“后默克尔时代”美-中-德关系向何处去？
",德国在9月26日举行了联邦选举，就目前的结果来看，中间偏左的社会民主党以微弱优势击败了现任总理默克尔所属的中间偏右的联盟党。此次大选也意味着长达16年的默克尔时代的结束。那么这场德国大选会对美中德三边关系产生怎样的影响？我们今天邀请了美国艾德菲大学文理学院院长、政治学教授王维正来和我们一起探讨这个问题。
"
美国观察(2021年9月29日)
",韩国军方9月28日表示，朝鲜当天在海上发射了一枚发射物，美国务院随后发表声明谴责朝鲜的行为，并呼吁平壤与美国展开对话；美国参谋长联席会主席马克·米利在周二的一场参议院听证会上，再次为自己和中国军事将领的两次通话辩护。他表示通话并不是他个人的擅自行动，包括前国务卿蓬佩奥在内的不少特朗普政府高级官员都对通话知情；德国在9月26日举行了联邦选举，社会民主党以微弱优势击败了现任总理默克尔所属的联盟党，意味着长达16年的“默克尔时代”即将结束，这会对美中德三边关系产生怎样的影响？
"
VOA卫视美国观察 美国国务院发声明谴责朝鲜周二试射一枚导弹；美参谋长联席会主席米利为自己和中国军事将领的两次通话辩护
",韩国军方9月28日表示，朝鲜当天在海上发射了一枚远程火箭，美国务院随后发表声明谴责朝鲜的行为，并呼吁平壤与美国展开对话；美国参谋长联席会主席马克·米利在周二的一场参议院听证会上，再次为自己和中国军事将领的两次通话辩护。他表示通话并不是他个人的擅自行动，包括前国务卿蓬佩奥在内的不少特朗普政府高级官员都对通话知情；德国在9月26日举行了联邦选举，社会民主党以微弱优势击败了现任总理默克尔所属的联盟党，意味着长达16年的“默克尔时代”即将结束，这会对美中德三边关系产生怎样的影响？
"
“你的页面有违禁内容” 领英屏蔽美记者中国页面
",美国新闻网站Axios记者贝书颖(Bethany Allen... 贝书颖还提到她与同事通过调查曝光的中国渗透美国精英圈的事件，包括一名疑似中共女间渗透加州政坛，与美国政客发展亲密关系... 她还在简介中说，她正在撰写一本将在2022年出版的有关中国的书，题为《北京规则：资本主义，冠状病毒与中国追求全球影响力》( Beijing Rules: Capitalism... 
"
米利将军为他给中国打电话辩护
",他说，前总统特朗普政府的关键官员知道这些电话，他在电话中向中国保证，特朗普无意在其任期的最后几周对中国发起攻击... 这次电话发生在数百名特朗普的支持者冲进美国国会大厦，试图阻止议员们确认拜登在去年 11 月的选举中击败了特朗普之后的两天... 
"
分析：“四方”机制影响力日趋上升 不排除未来成为军事联盟可能
",在华盛顿举行的“四方安全... 近一两个星期来随着美中两国元首通话、孟晚舟获释，以及拜登气候特使克里表示近期再次访华等各项发展，华盛顿与北京之间的紧张关系似乎出现日趋缓和的气象... 澳大利亚、英国和美国领导人日前（9月15日）宣布，澳英美三国建立一个强化的三边安全伙伴关系，称之为“AUKUS”，并且发表联合声明说：“在经久不衰的理想和对基于规则的国际秩序之共同承诺的指引... 
"
澳大利亚核潜艇将是中国攻台顾忌，或致中国进一步扩军
","将有助于巩固美国相对于中国的海下优势，
美国福布斯杂志在今年六月的一篇评论文章中举例说，如果北京选择攻击台湾，弗吉尼亚级潜艇可以打破对台湾的任何海上封锁，破坏两栖登陆，用... 分析人士指出，从地缘战略的角度看，“奥克斯”三边安全伙伴关系实际上是美英澳形成的一个新的联盟，是美国印太战略重心向印太地区转移的具体体现，在印太地区的最外围的海域构筑了一道限制中国... "
"
孟晚舟返国后，被中国禁止离境三年多的美籍华人姐弟获放行
",在美国司法部9月24日与华为首席财务官孟晚舟... 纽约时报表示，刘姓姐弟俩的被允许离开中国是在华为首席财务官孟晚舟一案结束的很短时间内发生的，是孟晚舟案暂缓起诉协议达成后缓和美中紧张关系的举措之一... 美国司法部周一在一份声明中表示，没有与孟晚舟就加拿大和美国公民被拘一事达成协议，“与孟晚舟达成暂缓起诉的协议是司法部的独立决定，依据的是事实和法律，以及对诉讼风险的评估... 
"
“历史性成就！” 美国宣布实施一次HAWC高超音速武器飞行测试
",雷神公司制造的这款... 负责空射吸气式高超音速武器研发项目的一位官员说，这次成功测试是多年来政府与国防工业伙伴关系发展的结果，这一成就为美军获得新一代高端武器“迈出了重要一步... Kahl)说，中国是唯一能在经济、技术、政治和军事上对美国形成系统性挑战的国家，但这并不意味着美中两国不可避免会有一场冲突，“但的确意味着我们与北京的关系将更会是竞争性的，有时会是敌对性的
"
CPTPP:中国和台湾争相入群 日本你怎么说?
",李世晖教授认为，对台湾来说，在美中对抗，日中竞争的背景下，中国申请加入CPTPP就为台湾创造了一个申请加入的时机... 日本在此一议题上的对应，将会影响日后的中日关系与台日关系... 他说：“在中日关系上，日本一方面可藉由CPTPP的谈判，加速中日韩FTA（自贸协定）的进程；以及在明年中日建交50周年的政治日程，营造友好的中日关系氛围... 
"
亚马逊狠心“翻脸”，中国电商何去何从
",从4月底开始，亚马逊对中国卖家... 亚马逊的理由是这些账号均有多次反复滥用评论行为，经警告后仍然持续违规，并且此次被解除合作关系品牌的申诉机会不大... 到了2020年，亚马逊的头部卖家中有42%为中国卖家，亚马逊美国网站上的中国跨境电商占比已达63%，整体销售额占比居第二，仅次于美国... 这种不惜一切代价求好评的风气不止在淘宝盛行，美团，大众点评等其他消费平台也同样司空见惯... 
"
拜习通话中提及两名麦克尔和孟晚舟的案子，白宫不接受“囚犯交换”的说法
",白宫发言人莎琪周一（9月27日）表示，中国领导人习近平... 在星期五的这个宣布前两周，即在中国国家主席习近平与拜登总统9月9日进行的电话通话中，拜登总统提起两名加拿大人的案子并敦促中国释放他们，就像美方在与中国进行的每一次接触时所做的那样，而习近平则提到孟的案子... 这起持续了近三年的引渡案不仅严重影响了中加关系，也一直是北京与华盛顿之间日益恶化的关系中的一个主要问题... 
"
白宫要义: 白宫: 孟晚舟案纯法律考量，美对中国与华为政策不变
",中国在宣传上一直将... 2018年12月11号，在孟晚舟被拘留十天之后，当时的美国总统特朗普曾经说过白宫已经跟司法部讨论过孟晚舟案，而“如果认为这对达成史上最大美中贸易协议有利的话，有必要的话当然会介入... 拜登总统与习近平在9月9号通了90分钟的电话，白宫发言人莎琪说，拜登总统在电话中除了向习近平关切康明凯与斯帕弗，也要求中国要让任何无法离开中国的美国公民自由离开
"
时事大家谈: 孟晚舟获释：美国为何妥协？中国堪称胜利？
","现在孟晚舟和美国联邦检察官签订了暂缓起诉协议，对美方指控的那些事情有些没有承认，有些承认了... 再有就是孟晚舟和华为在香港的银行干的金融业务的事情，她隐瞒了华为和星通的真实关系，等等... （美国之音记者尹暄对本文亦有贡献）
孟晚舟返国引发民族情绪 中国学者：中美法治观互异，未来较量恐升级
本期时事大家谈节目完整版：​ 孟晚舟获释：美国为何妥协... "
"
美最高军事将领两度密电中国 为何引发争议
",《华盛顿邮报》两名资深记者近日发表新书，披露在前总统特朗普执政的最后日子里，时任美军参谋长联席会议主席米利将军，两次与中共中央军委联合参谋部参谋长李作成将军通话，向其保证，美国是稳定的，不会对中国发动袭击，如果有袭击的话，他会事先向中方发出警告。这一消息在美国引发轩然大波，对于米利将军的做法，各方褒贬不一。今天我们邀请了美国之音记者方正和美国德州山姆休士顿州立大学政治系副教授翁履中，来共同探讨米利将军的做法为何会引发争议。
"
美中较量继续，美政府扩充人手、监测中国
",美中加三国因华为首席财务官孟晚舟被捕而起的纷争，在美方和孟晚舟达成延迟起诉协议之后，暂时得到解决，但是一些观察人士认为，美中两国间的较量还将继续... 在孟晚舟获释的几天前，美国 《外交... 这位高级官员表示，国务院通常不会公开谈论具体的人事情况，但他指出，布林肯国务卿对美中关系的定位是有些领域竞争，有些领域合作，还有些领域对抗，“因此我们能够有效管控所有那些领域，人们... 
"
分析：中国运用“人质外交”让孟晚舟获释的代价
",虽然中国不断声称两名加拿大人被捕与孟晚舟案无关，但在西方外交人士以及人权团体眼中，过去48小时中发生的一切证明情况正好相反... 美国纽约时报周六发表评论说，这次虽然解决了令美中关系降至最遭点的纠纷之一，但将无助于解决更深刻的问题，包括中国的人权、在香港的全面镇压、网络间谍、中国威胁使用武力统一台湾，以及中国... 
"
海峡论谈：两岸争相加入CPTPP 牵动美中台战略布局
",就在美英澳组成“铁三角”剑指中共之际，北京突然正式提交加入《全面与进步跨太平洋夥伴关系协定》CPTPP的申请。紧接着不到一个星期，台湾也宣布正式递件申请加入CPTPP。蔡英文总统呼吁轮值主席国日本支持台湾入会，美国也公开表示力挺。北京則以“一中原则”为由表达强烈反对，解放军并随即出动单日多达24架战机侵扰台湾。两岸争相加入CPTPP，究竟谁的胜算较高？北京是否借由此举进行“外交突围”？美国是否该重新考虑加入CPTPP? 相关发展是否牵动美中台三方的战略布局？
"
VOA卫视-海峡论谈 两岸争相加入CPTPP 牵动美中台战略布局
",美英澳组成“铁三角”剑指中共之际，北京突然正式提交加入《全面与进步跨太平洋夥伴关系协定》CPTPP的申请。紧接着不到一个星期，台湾也宣布正式递件申请加入CPTPP。蔡英文总统呼吁今年的轮值主席国日本支持台湾入会，美国政府也公开表态力挺。就在台湾正式申请加入CPTPP后，北京以“一中原则”为由强烈反对，解放军随即单日出动多达24架战机侵扰台湾。两岸争相加入CPTPP，究竟谁的胜算较高？北京是否借由此举进行“外交突围”？美国是否该重新考虑加入CPTPP? 相关发展是否也将牵动美中台三方的战略布局？
"
海峡论谈: 两岸争相加入CPTPP 牵动美中台战略布局
",就在美英澳组成“铁三角”剑指中共之际，北京突然正式提交加入《全面与进步跨太平洋夥伴关系协定》CPTPP的申请。紧接着不到一个星期，台湾也宣布正式递件申请加入CPTPP。蔡英文总统呼吁轮值主席国日本支持台湾入会，美国也公开表示力挺。北京則以“一中原则”为由表达强烈反对，解放军并随即出动单日多达24架战机侵扰台湾。两岸争相加入CPTPP，究竟谁的胜算较高？北京是否借由此举进行“外交突围”？美国是否该重新考虑加入CPTPP? 相关发展是否牵动美中台三方的战略布局？
"
Quad虽不完美但不妨碍 日本是核心平衡要角
",日本希望维持地域的秩序... 例如美国战略家Walter Russell Mead在四月份美日峰会之后发表于 华尔街日报 评论中便直指‘美日关系是美国在国际政治中最重要的双边关系... 渡部恒雄表示，随着Quad合作的常态化，不仅日美同盟、美澳同盟、美印战略伙伴关系等双边合作，而且美国的盟国和伙伴国的合作网也将共同负责维持地区秩序，这应该就是未来维持印太地区秩序的... 
"
美国共和党参议员痛批释放孟晚舟
",美国参议员马可卢比奥周六表示，华为财务主管的获释引发了人们对乔·拜登总统应对这家科技巨头和中国共产党威胁的能力的严重质疑... 卢比奥在给路透社的短信中呼吁拜登政府就这个问题紧急向国会通报情况... 华为首席财务官孟晚舟周五与美国检方达成协议，结束对她的银行欺诈案后，于周六返回中国... “我们已经看到政府对气候的一味关注如何导致他们淡化种族灭绝... 这只是拜登政府对北京采取危险的软弱... 
"
朝鲜：愿意考虑举行另一轮朝韩首脑会议
","“
就在一天前，朝鲜... 金与正在朝中社的报道中说，“北南共同联络办事处的重建、北南首脑会晤等关系改善的诸多事宜也才会通过建设性讨论，很快循序渐进、迎刃而解... 金与正在朝中社的报道中说，她感兴趣地注意到韩国就正式终止韩战的紧张讨论... 路透社说，美国前总统特朗普与朝鲜领导人金正恩2018年在新加坡举行峰会时，外界预期可能会宣布终止韩战，但美朝之间的谈判2019年以来陷入了停顿... "
"
朱立伦回锅国民党主席 学者：亲中标签难撕
","选举主轴从对美关系演变为对中关系
此次国民党的党主席选举走势诡谲，原先各界预料会是朱立伦与现任党主席江启臣的两强对决... 廖达琪认为，台湾在两岸关系上，自己能拿捏的空间并不大，只能在中美两强间找寻折衷点，或是游移在亲中或亲美的两大极端中... 即便朱立伦靠着所谓的“中道”，击败了张亚中，但他未来若想要再回锅选总统，在支持者结构的限制下，他势必也得往深蓝靠拢... "
"
孟晚舟返国引发民族情绪 中国学者：中美法治观互异，未来较量恐升级
",他们说，美中加三国纷争虽暂告落幕，但基于竞争本质和体制差异，中美两国未来的新交量，恐将持续且不断升级... 不过，该社评也表达，希望孟晚舟的获释能“给中加关系重启和中美关系出现某种松动带来鼓励... 他说，美中加三国因孟晚舟而起的纷争暂时解决后，应该能为中美和中加关系扫除障碍，促成未来些许的实质进展... 
"
拜登白宫主办面对面四方峰会 在中国势力日增背景下讨论合作
",四位领导人在他们的公开评论中没有直接提及中国，但人们一直预计北京是他们私下会谈的一大重点话题... 莫迪对记者们说，在拜登领导下，“播下了扩展印-美关系以及世界所有民主国家扩大合作的种子，这将是一个转型时期... 白宫新闻秘书莎琪发表的白宫声明说，这些议题将包括“抗击COVID-19、应对气候危机、在新兴技术和网络空间结成伙伴关系，并推动一个自由与开放的印-太... 
"
前五角大楼官员警示台湾：你正处于极度危险中！
",为特朗普政府规划国防战略的前五角大楼官员如此对台湾发出警示... 战略报告》首席作者埃尔布里奇·科尔比(Elbridge Colby)认为，中国这种做法为美台安全合作带来极大挑战，因为台湾人不会愿意放弃自己的自主性（autonomy），中国对台湾再多的灰带手段都不会成功，也因为如此，中国的“最佳策略”将是使用“直接军事力量”达到其政治目的，美台都必须对此有所准备... 
"
美国与华为高管孟晚舟达成暂缓起诉协议 引渡程序终止 孟将返回中国
",“孟所作出的承认证实了政府在起诉这起金融欺诈案中指控的核心——孟和她的华为同事对华为在伊朗的活动合谋欺骗全球金融机构、美国政府和公众... 《华尔街日报》在听证结束之前的一则报道中说，“随着两国关系已经恶化，预期的协议解决了美中之间紧张关系的一个根源，特别是在美国、英国和澳大利亚本月宣布向澳大利亚提供核潜艇以对抗中国在印太地区的影响... 
"
快讯：美国法庭听证结束 美司法部与孟晚舟达成暂缓起诉协议
",星期五(9月24日)，在纽约布鲁克林举行的有关中国华为公司首席财务官孟晚舟银行欺诈案的法庭听证结束，美国司法部与孟晚舟达成都同意接受暂缓起诉协议，为孟晚舟返回中国铺平道路... 按照协议，司法部将在明年12月、也就是华为创始人任正非的女儿孟晚舟被捕四年后撤销针对她的指控，前提是她满足某些条件... 目前在加拿大温哥华自己的豪宅内接受监视居住的孟晚舟通过视频参加了听证... 
"
嘴皮斗不过肚皮，中国抢购澳大利亚小麦
",根据路透社的报道，由于北半球多个小麦生产国... 在澳大利亚上星期与美英共同宣布放弃从法国采购常规的柴电潜艇，转而向美英采购核潜艇之后，北京批评美英澳违反“核不扩散协议”，批评美国对法国“背后捅刀”，同时抨击澳大利亚“背信弃义... 中国目前仍然对澳大利亚产的葡萄酒和大麦征收反倾销税，同时减少澳大利亚煤炭和牛肉的进口，但是小麦采购却一直没有受到政治关系恶化或贸易战的影响
"
中共定调出手救恒大？市场人士倾向相信中国会躲过雷曼时刻
","黄齐元说，这般的监理风险已经让投资中国的外资基金经理人有所却步，甚至促成中美金融上的进一步脱钩... 典型红色资本家
中国恒大董事长许家印
蔺常念告诉美国之音: “红色资本家的特色都是靠关系借钱，许家印也是一个典型的红色资本家... 不过，他说，中国在这类问题企业处置上的最高指导原则一向是金融稳定，因此，中共会确保恒大危机不会影响到中国的金融市场... "
