时间,标题,内容,记者
2021年2月19日,"
台湾国安团队高层变动 邱国正任国防部长
",府秘书长李大维、外交部长吴钊燮、驻美代表萧美琴组成的外交铁三角；由陈明通、邱太三和海基会副董事长詹志宏组成的两岸事务铁三角；和由严德发、邱国正和参谋总长黄曙光组成的国防安全铁三角... 在蔡英文当选台湾总统以后，台湾与中国的关系显著恶化，特别是在最近两年，随着美台关系进一步密切，中国大陆对台湾的军事和政治压力大幅度提高，解放军军机和军舰骚扰台湾的动作空前频繁... , 美国之音
2021年2月19日,"
美众院两党议员联袂提议案 力推恢复台湾世卫观察员地位
",来自加利福尼亚州的两位联邦众议员---民主党人布拉德·舍曼(Brad Sherman)与共和党人金映玉(Young Kim)星期四(2月18日)推出一项得到大批两党... 她还说：“我将继续尽我所能来加强我们的美台关系并在台湾期望恢复其观察员地位之际支持台湾... 2016年，在民进党人蔡英文当选台湾总统后，北京与台北政治关系恶化，台湾此后未能再以观察员身份参加世卫大会, 美国之音
2021年2月19日,"
共和党参众议员再次推出《防止台湾遭侵略法》
",共和党参议员斯科特(Rick Scott)星期四(2月18日)重新推出《防止台湾遭侵略法》(Taiwan Invasion Prevention Act)，这部法案在众议院的发起人是共和党众议员雷申塔勒(Guy Reschenthaler... 法案的目的是保护台湾不受中国共产党政权的侵略，并进一步加强美台关系并加强台湾抵御中国侵略性的政策和军事行动的能力... , 美国之音
2021年2月18日,"
陈时中：台湾购买疫苗一度受阻 疑与外力介入有关
","行政院回应，中国打压并无益于改善两岸关系，也会让国人对于中国的行为感到反感... 透过疫苗重启两岸谈判有不同声音
国民党立委赖士葆强调，健康不要政治化，不管是哪一国的疫苗，有效就好，虽然中国疫苗的保护力相对较差，但在购买不到其他疫苗的选择下，有总比... 从某个角度讲，我们跟大陆之间是不通的，借着疫苗打开两岸的冰封之门不是很好吗... ", 陈筠
2021年2月18日,"
台海战争风险增 观察人士：拜登须防习近平对台出手
",美国智库外交关系协会上个月在一个年度调查中，首次将美中两国在台湾问题上爆发严重危机列为全球潜在冲突的最高级别，在路透社上星期一场全球市场论坛上也有专家警告说，台湾是“世界上最危险的... 报告提出18项外交及经济行动建议，包括考虑美国对台政策将如何影响美中关系；审视美国对中国、对台湾政策如何影响美国的政策目标；遵守美国的一中政策；反对任何台湾独立的宣示；维持战略模糊... , 锺辰芳
2021年2月18日,"
台驻美代表感谢美国继续支持台湾
",台湾驻美代表萧美琴星期二（2月16日）接受日本共同社独家采访时称赞了美国在中国对台湾加大压力的情况下继续给予台湾支持... 她警告说，在中国通过《海警法》后，需警惕可能发生的突发状况... 美国前总统特朗普推进对华强硬路线并扩大支援台湾，萧美琴说：“新政府的一些官员重申了这种支援，我们对此表示赞赏，”她还说，“我们有了一个好的开端... 台湾驻美代表萧美琴2021年1月20日参加... , 美国之音
2021年2月15日,"
马英九吁“勿拒中国疫苗”，台湾官方做出回应
",针对前总统马英九近日有关不要拒绝中国疫苗的呼吁，台湾中央流行疫情指挥中心指挥官陈时中表示，台湾不认为中国疫苗是一个可行的选项... 他还说，双方要尽快推动11年前签署的两岸医疗卫生合作协议... 王定宇称，“从马不敢声援香港、也无视图博（西藏）和新疆维吾尔人的惨状，这样的人追求的‘二岸关系’，只是要台湾当中国的顺民降将而已”，王定宇问，“这是台湾的前总统，还是中共的传声筒... , 美国之音
2021年2月15日,"
时事经纬(2021年2月15日) - 美国参议院宣布第二次被弹劾的前总统特朗普无罪；蔡英文习近平各向对方人民拜年，新春伊始纠结的台海两岸关系；牛年春节档期：中国电影转折点
",时事经纬(2021年2月15日) - 1/美国参议院宣布第二次被弹劾的前总统特朗普无罪。2/蔡英文习近平各向对方人民拜年，新春伊始纠结的台海两岸关系。3/牛年春节档期：中国电影转折点。, 美国之音
2021年2月11日,"
时事大家谈: Clubhouse在“墙国”昙花一现 北京忌讳言论自由如天敌
",一款名为Clubhouse的语音社交媒体应用程序在中国短暂“爆红”后已被中国当局强大的网络防火墙挡在墙外... 不仅如此，在中国互联网上任何有关Clubhouse的热搜也被屏蔽... 在这款社交平台上，用户可以加入不同主题的Club，也可以自己创建聊天室... Clubhouse上的话题五花八门，也也包括被北京当局视为高度政治敏感的话题如新疆集中营、六四天安门镇压、两岸关系等... , 林枫
2021年2月11日,"
时事大家谈: Clubhouse在“墙国”昙花一现 北京忌讳言论自由如天敌
",一款名为Clubhouse的语音社交媒体应用程序在中国短暂“爆红”后已被中国当局强大的网络防火墙挡在墙外。不仅如此，在中国互联网上任何有关Clubhouse的热搜也被屏蔽。在这款社交平台上，用户可以加入不同主题的Club，也可以自己创建聊天室。他们可以畅所欲言，也可以默默静听，而且应用本身不留下任何记录。Clubhouse上的话题五花八门，也也包括被北京当局视为高度政治敏感的话题如新疆集中营、六四天安门镇压、两岸关系等。对于一些中国用户而言，这是他们首次体验到言论自由。但现在，这款火爆的应用程序已被中国当局封杀。环球时报主编胡锡进警告说，完全不受控的互联网言论平台在中国不可能实现。Clubhouse在中国的爆红说明了什么？它的中国防火墙内如此短命又反映出什么？用科技挑战权力者底线的前途在哪里？, 林枫
2021年2月11日,"
时事大家谈：Clubhouse在“墙国”昙花一现 北京忌讳言论自由如天敌
",一款名为Clubhouse的语音社交媒体应用程序在中国短暂“爆红”后已被中国当局强大的网络防火墙挡在墙外。不仅如此，在中国互联网上任何有关Clubhouse的热搜也被屏蔽。在这款社交平台上，用户可以加入不同主题的Club，也可以自己创建聊天室。他们可以畅所欲言，也可以默默静听，而且应用本身不留下任何记录。Clubhouse上的话题五花八门，也也包括被北京当局视为高度政治敏感的话题如新疆集中营、六四天安门镇压、两岸关系等。对于一些中国用户而言，这是他们首次体验到言论自由。但现在，这款火爆的应用程序已被中国当局封杀。环球时报主编胡锡进警告说，完全不受控的互联网言论平台在中国不可能实现。Clubhouse在中国的爆红说明了什么？它的中国防火墙内如此短命又反映出什么？用科技挑战权力者底线的前途在哪里？, 林枫
2021年2月10日,"
分析：美中紧张关系恐持续 台湾可能成为“世界上最危险的引爆点”
",一些经济学者和策略师在路透社全球市场论坛上说，即使美国总统拜登愿意重新参与多边贸易，他也不太可能与中国这个世界第二大经济体达成新协议或降低对中国的关税，这意味着两国关系将保持紧张... 有分析人士认为，美国将继续与中国进行科技竞争，这使得在中美科技战... 该协定的前身《跨太平洋伙伴关系协议》（TPP）是前美国总统奥巴马把亚太地区11个国家连接起来的战略重心转向亚洲的核心... , 美国之音
2021年2月9日,"
蔡英文称台湾遇到压力不会屈服 愿在对等尊严原则下促成两岸对话
",而在两岸关系上，她再次重申遇到压力不会屈服，并表示愿意在符合对等尊严的原则下和对岸共同促成对话... 中国近期不断加强对台湾的军事威胁，拜登就职后，中国军机还... 她说：“两岸的和平，不是台湾单方面的事情，关键的钥匙也在中国手上，历史经验已经证明，对台湾文攻武吓，对两岸关系并不会有什么帮助... 蔡英文指出，台海的和平稳定，已从两岸关系的范畴，提升到印太区域，甚至是全球的焦点... , 美国之音
2021年2月9日,"
中美互相试探对台决心，北京必定相当失望
","自美国新政府上任后，中国对台湾的军事压迫未见缓解，近日更以... 布林肯与中共中央政治局委员、中央外事工作委员会办公室主任杨洁篪通话，杨洁篪重申北京当局立场，強調台湾问题是美中关系最敏感的核心问题，并要求美国遵守“一个中国原则”和美中三个联合公报... “
“如果北京见到美国与日本、韩国及澳大利亚等国家之间的真诚关系，那将改变特朗普时期实际上并不存在的战略估算... ", 锺辰芳
2021年2月9日,"
台湾对于中国军机军舰的活动表示担忧
",“只要北京当局有心化解对立，我们也愿意在符合对等尊严的原则下共同促成有意义的对话“，台湾总统蔡英文9日在春节前夕的讲话中谈到两岸关系时说；她对中国的军机、军舰在台湾周边海空域的频繁活动表示担忧。,
2021年2月6日,"
中国官媒隐去布杨通话要点--北京破坏印太稳定必被追究
",美国与中国最高级别的外交官周六（2月6日）通了电话，就... 布林肯还强调，美国将与盟友和伙伴共同努力，让中华人民共和国对其威胁包括台湾海峡两岸在内的印太地区稳定的努力，以及其破坏基于规则的国际体系的行为负责... 中国外交部就这次通话内容发出的通报主要介绍了杨洁篪就中国有关立场发表的言论，而对布林肯的谈话要点几乎全部隐去，只提到布林肯认同“美中关系对两国和世界都非常重要... , 美国之音
2021年2月6日,"
台湾在圭亚那设处生变 ，美中竞逐拉美影响力见胜负？
","台湾在圭亚那(台湾称盖亚那)设办公室一事，在... 新做法
萨克斯说，人们多半注意台湾的正式邦交，但中国却越来越着重于减小台湾的非官方关系，他认为“这是一个令人担忧的趋势”，因为许多国家与台湾保持非官方关系，台北在全世界也有许多代表处，如果中国有能力施压一些国家不准台湾甚至有非官方的存在，那对... 她说，这种做法“既无助于两岸关系，也无助于改善中国的国际形象... ", 锺辰芳
2021年2月5日,"
北京干预后 圭亚那突然终止设立台湾办公室的协议
",圭亚那周四（2月4日）突然终止了与台湾签署的允许在... “政府没有与台湾建立任何外交关系或关系，由于在签署的协议上的沟通不足，该协议已被终止，”圭亚那在声明中说... 中国外交部发言人汪文斌对圭亚那与台湾达成协议作出回应说，北京希望圭亚那不要与台湾发展官方关系，呼吁圭亚那“切实采取措施纠正错误... 中国政府说一套、做一套的方式，只会更加凸显其邪恶本质，让两岸人民的距离更形疏远... , 莉雅
2021年2月4日,"
美导弹驱逐舰通过台湾海峡 拜登政府宣示对台承诺不变
",美国海军的一艘导弹驱逐舰周四(2月4日)通过了台湾海峡，这是拜登政府执政以来首次派军舰驶越位于中国大陆和台湾之间的这条海道... 美国第七舰队发言人乔·凯利(Lt. Joe Keiley)在一份... 自从蔡英文总统去年赢得连任以来，两岸关系严重恶化... 特别是在特朗普执政后期美台关系更加密切，中共当局加大了对台湾的军事压力，几乎天天都有中国军机越过台海中线对台湾进行抵近骚扰... , 木风
2021年2月4日,"
台北宣布在圭亚那设台湾办公室 华盛顿表示欢迎和称赞
",美国国务院负责西半球事务的代理助理国务卿朱莉·钟(Julie Chung)在推特上转发了美国大使馆的声明，并说：“美国欢迎在圭亚那设立台湾办公室，这将加强双方不断发展的关系... 特朗普签署了得到参众两院共和与民主两党一致通过的《2019年台湾盟邦国际保障与强化倡议法》(简称台北法案)，主张美国政府应该强化台湾对外关系，支持台湾参与国际组织及强化美台贸易关系... , 美国之音
2021年2月4日,"
报告称如果中国入侵台湾 美多数意见领袖支持保护台湾
",美国一项新的调查报告发现，美国大多数外交政策意见领袖支持在中国入侵台湾时动用美军保护台湾，但美国大多数民众却反对这么做... 芝加哥全球事务委员会（Chicago Council on Global Affairs）在星期一（2月1日）发布的一份调查报告中说，受访意见领袖与民众在保卫台湾问题上出现了分歧... 85%的共和党受访意见领袖、63%的民主党意见领袖和58%的... , 美国之音
2021年2月3日,"
遏制中共对台威胁 美副防长人选：美台需紧密合作
",美国国防部副部长被提名... 希克斯说，“我强烈认为美国如果利用公私部门伙伴合作关系，将能有效的与中国的军民融合模式竞争，中国的模式是中央集权式的，它没有充分利用充满活力的私营部门的优势... 拜登总统已经做到这一点，当然国会两党40年来都一直大力支持（台湾），我认为要始终如一的表明我们将遵守台湾关系法的要求，我们将履行对台六项保证，我们也将依循美中三公报，”希克斯回答说... , 李逸华
2021年2月2日,"
一种新武器？中国船只在台湾宣称拥有主权的水域挖砂
",中国民航部门正在距离台湾金门岛不到10公里的大嶝岛建设一座新的民用机场... 在台湾的岛屿上，人们不安地看着中国船只在离台湾如此近的海域里... 台湾淡江大学外交和国际关系学助理教授陈奕帆说，中国大陆的挖砂活动在台湾海域已经进行了大约十年，它破坏了海洋生态... 史汀生中心东亚项目研究员孙韵表示，如果政治关系改善，中国可能会将挖砂船驶离台湾水域... 自2016年以来，两岸关系一直在下滑... , 詹宁斯
2021年2月2日,"
台湾国防部：中国和美国军机进入台西南空域
",台湾国防部网站即时军事动态栏目公布，星期一（2月1日），中国军机运8反潜机1架次进入台湾西南空域，台空军派遣空中巡逻兵力应对、广播驱离、防空飞弹追监... 根据“即时军事动态”公布的信息，星期一，共有3架次美国军机也出现在周边空域... 其中，侦察机2架次，加油机1架次... 美国国防部发言人柯比1月28日首次就中国大陆和台湾关系发表评论，形容“台独就是战争”的言论是“不幸”的... , 美国之音
2021年1月30日,"
拜登政府官员计划下周与台湾举行供应链对话
","美国拜登政府的官员计划下周与台湾政府及相关产业的代表召开临时会议... 台湾驻美代表：供应链安全是美台经济伙伴关系对话的重要部分
台湾驻美代表萧美琴星期五在接受美国之音问询时表示，供应链安全是美台去年11月启动的经济伙伴关系对话的重要组成部分... 中国驻美大使崔天凯周三（1月27日）晚间参加一个有关中美关系的在线对话会上对美国处理台湾问题的方式也发出了警告... ", 莉雅
2021年1月29日,"
北京想给拜登来个下马威，却挨了一拳
",不过美国安全事务专家说，如果中国想要寻求与拜登政府重置关系，那么它表现的方式“非常奇怪... 就在前一天，国台办发言人朱凤莲也在例行记者会上针对美国政府呼吁两岸对话的立场表示，过去四年来民进党拒绝承认九二共识、“勾连外部势力进行谋‘独’挑衅”，造成两岸关系复杂严峻，解放军在台湾海峡组织实战化演练，是要“严正警告外部势力停止干涉、严正警告‘台独... , 锺辰芳
2021年1月29日,"
布林肯与欧盟外交主管通话 谋求修复美欧关系并协调对华立场
",美国国务卿布林肯星期四（1月28日）与欧盟外交和安全政策高级代表博雷利通话，以修复受损的美国与欧盟的关系，共同应对双方面临的挑战... 国务院的声明特别提到，布... 代表兼欧盟委员会副主席博雷利星期四在通话中讨论了如何“修复、振兴以及提高美国与欧盟关系的雄心”，并“强调了美国与欧盟及其成员国合作解决包括新冠病毒、气候变化、大西洋两岸的数据流这些共同的挑战并加强经济合作... , 美国之音
2021年1月28日,"
中国语调转硬 警告台湾独立“意味着战争”
",中国星期四（2021年1月28日）对台湾语调更加强硬，对其最近在台湾岛附近加强军事活动发出警告，称“独立意味着战争”，并说中国的武装部队正在采取行动应对挑衅和外国干涉... 台湾称上周末有多架中国战斗机和轰炸机进入台湾西南防空识别区... 中国国防部发言人吴谦在一次例行记者会上说，台湾是中国不可分割的一部分... 他说，中国军方在台湾海峡执行的军事活动是应对当前台湾海峡安全形势... , 美国之音
2021年1月27日,"
台政治评论人士：共机频频扰台 美国应有战略准备
",台政治评论人士：共机频频扰台 美国... 针对两岸关系与外交关系熟重的问题，该基金会的调查显示，67%的人不赞成两岸关系比外交关系重要，26%则表示赞成... 该基金会认为，台湾绝大多数人期盼台湾走出去，在国际社会立足，而非在两岸关系的框架下寻求国际空间... 该调查还指出，31%的人认为两岸关系在未来一年内会越来越差，55.2%认为跟现在差不多，6.5%认为两岸关系会越来越好, 张永泰
2021年1月27日,"
习近平称反对恃强凌弱，台驻美代表萧美琴：我会引用他这句话
",中国领导人习近平对世界经济论坛“达沃斯议程”对话会发表的讲话引发许多反应，他提到中国“反对恃强凌弱”的部分似乎也让关注近来受到中国军机不断侵扰的观察人士相当有感，不仅美国媒体发表... 维护以联合国为核心的国际体系、以国际法为基础的国际秩序”，“要坚持通过制度和规则来协调规范各国关系，反对恃强凌弱，不能谁胳膊粗、拳头大谁说了算，也不能以单边主义之名、行单边主义之实, 锺辰芳
2021年1月25日,"
台海局势紧张 美航母群驶入南中国海
",美国军方周日表示，由西奥多·罗斯福号航空母舰带领的美国航母群已经驶入南中国海，推广“海洋自由”。此时中国与台湾的紧张关系引起华盛顿方面的关注。,
2021年1月24日,"
台海局势紧张 美航母群驶入南中国海
",美国军方周日（1月24日）表示，以西奥多·罗斯福号航空母舰为首的一个美军航母战斗群进入了南中国海以推进“海洋自由... 中国大陆和台湾之间的紧张局势已经引发华盛顿方面的关注... 美军印太司令部在一份声明中表示， 这个攻击舰群已经在星期六进入南中国海... 同一天，台湾称中国大批轰炸机和战斗机入侵... 美方说，航母舰队在南中国海进行例行行动，“以确保海洋自由，建立促进海上安全的伙伴关系... , 美国之音
2021年1月24日,"
美国务院：中国军队施压台湾威胁地区和平稳定
",美国国务院星期六敦促北京停止对台湾进行军事、外交和经济施压，并重申了美国对台湾“坚如磐石”的承诺... 刚刚就任的拜登政府表示，美国将继续依照台湾人民的愿望和最大利益，以和平方式解决两岸问题... 美国还重申“恪守《三个公报》、《台湾关系法》和“六项保证”所阐述的长期承诺... 台湾方面也表示，“将与拜登政府密切合作，在过去台美友好的基础上，进一步强化紧密的伙伴关系... , 美国之音
2021年1月23日,"
中国空军大阵势骚扰台湾，拜登政府：对台承诺“坚如磐石”
",台湾国防部周六（1月23日）发布消息说，中国人民解放军派出8架轰6K轰炸机、4架歼16喷气战斗机侵入台海西南部防控识别区... 台湾国防部称，这是今年以来，大陆军机骚扰台湾空域规模最大的一次... 台湾国防部官网的“即时军事动态”专栏显示，今年1月份已经过去的20多天里，中国军机侵扰台湾天数达16天，动用了运8技术侦察机、反潜机、远干机（远程电子干扰机）、运9通信对抗机... , 木风
2021年1月23日,"
特朗普挺台官员遭中制裁，专家称效果不大
",中国政府这个星期早些时候表示，将对... 关于台湾，蓬佩奥提到他撤销数十年来美国与台湾对口互动的自我限制，并表示 “我们不应该为了讨好共产党中国而屈辱我们与一个可靠伙伴及民主同伴的关系... 明显而且已知的作为，但可以假设的是，北京更想通过制裁这个手段本身来发出信号说，中国愿意、也会威胁要采取挑衅举措来表达它的不满，如此就可以威慑未来美国与台湾扩大关系，甚至还能使其倒退... , 锺辰芳
2021年1月21日,"
拜登就职：北京伸出带刺的橄榄枝
",中国外交部发言人华春莹在周四（1月21日）说，“只要下定决心，一切都有可能... 她说：“过去几年，特朗普政府特别是蓬佩奥在中美关系中埋了太多的雷，需要排除；烧了太多的桥，需要重建；毁了太多的路，需要修复... 美国财经媒体彭博社说，从中国社媒体的评论看，有不少人希望拜登就职为改善美中双边关系开启新的一页，但也有不少人对此并不乐观，担心特朗普的强硬政策将会被新政府继承下来... , 木风
2021年1月21日,"
中国2021年对台工作果真有“时与势”的优势？
",中国中共中央政治局常委、全国政协主席汪洋日前在一次会议上，公布了中国大陆2021年对台工作方针。他表示，台海形势严峻，绝不允许任何势力以任何方式把台湾分裂出去，他还说，要遏制台独势力挟洋自重，并支持台商和台湾企业积极参与“十四五”规划实施等。 在两岸关系紧绷情况下，中国大陆最新的对台工作方针与过去有何异同？中国对台所谓的“时与势在我们这边“果真如此？中国要执行2021年对台工作方针会遇到什么挑战？以及在美国拜登新政府下两岸关系的可能走向等问题。美国之音记者赵婉成采访了美国伊利诺伊州立大学特聘教授、目前担任政治系系主任的王德育教授进行下面的分析。, 赵婉成
2021年1月21日,"
欧洲议会通过决议案 关切台海紧张局势
",欧洲议会星期三（1月20日）表决通过了两项决议案，对台海紧张局势表示关切... 这两项决议案是欧洲议会就欧盟“共同外交与安全政策”（CFSP）年度执行报告及“共同安全与防御政策”（CSDP）年度执行报告所提出的整体政策建议，决议案提到，欧盟对台海紧张局势和中国大陆最近对台湾的军事挑衅表示严重关切... 两项决议还呼吁欧盟及其成员国支持台湾以观察员身份参与世界卫生组织、世界... , 美国之音
2021年1月21日,"
台学者：美国对华政策战略方向不变 战术会有所调整
","曾经担任外长的田弘茂还说，过去4年，美国国会通过了一系列规范美台关系，以及处理与中国关系的法律，接下来都会逐步的落实... 台湾民间智库国策研究院举办拜登就职后美中台关系座谈会(美国之音张永泰拍摄)
由台湾长荣集团创办人张荣发创立的国策研究院星期四举办一场名为“拜登就职后美中台关系与印太安全局势”座谈会，并邀请学者及立法委员发表看法... ", 张永泰
2021年1月20日,"
时事经纬(2021年1月20日) - 特朗普政府宣布中国在新疆犯下种族灭绝和反人类罪；王德育：美国拜登新政府下台湾海峡两岸关系的可能走向
",时事经纬(2021年1月20日)：1/即将宣誓就任美国副总统的卡玛拉·哈里斯在拜登政府内担任重要角色，将涉入拜登政府的所有议题，包括中国。2/特朗普政府宣布中国在新疆犯下种族灭绝和反人类罪。3/专家分析美国拜登新政府下台湾海峡两岸关系的可能走向。, 美国之音
2021年1月20日,"
春节临近，台湾针对机场防护举行军事对抗演练
","台湾军方在春节前夕举行军事对抗演练，以中国大陆... 台湾陆委会1月18日以书面声明表示，中共对台政策长期未面对两岸现实，也忽视台湾主流民意不认同其片面设定否定国家主权的政治框架... 陆委会呼吁中共应以尊重、善意理解的态度，不设前提进行两岸建设性对话交流，务实探讨和平相处之道，才有助提升两岸人民福祉... 但他认为""一国两制已走到尽头""，新政府要思考全新的两岸方案，改善三方关系... ", 美国之音
2021年1月18日,"
时事大家谈：评说特朗普处理美中关系 展望拜登对华政策
","美国总统特朗普的任期即将届满... 特朗普处理美中关系打分
华盛顿智库战略与国际研究中心(CSIS)亚洲高级顾问葛莱仪(Bonnie Glaser)认为，对特朗普处理美中关系的评判要把特朗普政府和特朗普总统本人区分来看... 如果这些政策继续下去，那么我认为美国将别无选择，只能做出回应，以确保威慑力的存在，确保中国明白美国在台湾安全和两岸稳定上的利益... ", 林枫
2021年1月17日,"
美智库年度报告首次将美中因台湾爆发冲突的可能性列为最高级
","美国智库“外交关系协会”（Council on Foreign Relations, CFR）日前公布最新报告，对2021年世界各地发生潜在冲突的可能性做出预测... “外交关系协会”下属的“预防行动中心（ Center for Preventive Action ）”从2008年起每年根据来年的预防优先次序发表报告，以预测和评估可能爆发或者升级的... ", 美国之音
2021年1月16日,"
对中国在地区作为的担忧或为台湾融入印太安全架构创造空间
",“到目前为止虽然情况不好，但他们是在试图改变香港的现状而不是台湾，因为风险估算相当不同，因此我认为香港的情势更令人担忧，而不是台海两岸关系... 不过日本对两岸关系的担忧也很高，因此基本上中山泰秀先生在这个议题上的说法，是在反映地区的普遍担忧... , 锺辰芳
2021年1月14日,"
为何蓬佩奥做出连串挺台动作？美学者：原因是习近平
",祁凯立说，从美国的角度来看，蔡英文在美台及两岸关系方面一直都是一个“负责任的掌舵者”，她没有破坏现状，而且也一直都非常尊重美国的利益... 不过何瑞安认为，拜登必须决定公开和私底下如何讨论台海两岸关系，因为中国官员将利用初期与拜登政府的官方交流来要求他们公开拒绝蓬佩奥的决定，“拜登团队应该对那些要求回应说，只要北京1... , 锺辰芳
2021年1月13日,"
蓬佩奥解除与台湾交往限制引发不同反应
","解除这些限制后麦考尔说，他提出这个立法是为了要确保美国能超越那些限制美台关系发展的“过时禁忌”
他说，“自1979年美国国会建立与台湾的关系之后，台湾已经发展成一个蓬勃的民主社会及美国的重要伙伴... 薛瑞福说，当选总统拜登在1月20日就职时，“他的政府将继承的态势是美台关系已剥除无益的限制和困难的政治决定... ", 锺辰芳
2021年1月13日,"
美国务院取消所有出访计划，美驻联合国大使将不访问台湾
",美国国务院星期二（1月12日）宣布取消本星期所有已经计划的出访，其中包括国务卿麦克·蓬佩奥的欧洲之行以及美国常驻联合国代表凯莉·克拉夫特大使对台湾的访问... 台湾驻美代表萧美琴也证实了克拉夫特不访问台湾的消息... 国务院的声明显示，取消官员出访计划与拜登政府的权力交接有关... 美国国务院星期一刚刚宣布了蓬佩奥国务卿1月13... 这位官员说，克拉夫特大使取消台湾之行与美中台关系无关... , 莉雅
2021年1月8日,"
特朗普卸任前美台关系突飙，对大国竞争下的台湾是利是弊？
",2021年开年之初，台海两岸关系气氛不佳，美中两国也持续处于紧绷状态，但夹在美中大国竞争下的台湾却在特朗普任期只剩不到两星期时见到美台关系出现令人意外的进展，尽管这种进展是否对美中、美台及两岸关系有正面积极作用看法不一，但有观察人士说，美台之间的交往更公开能让北京理解美国对与台湾发展关系的重视... 美东时间星期三(1月6日)深夜，美国国务卿蓬佩奥在对港府大规模... , 锺辰芳
2021年1月7日,"
社区团购碰“九不得”管制红线，中共被指步入“精致极权”
","社区团购的兴起
上海复旦大学国际关系与公共事务学院教授陈云 （陈云提供）
至于社区团购的缘起，复旦大学国际关系与公共事务学院教授陈云对美国之音说，社区团购诞生在2017年的长沙，创始企业叫做... 2020年的中国各大城市，因为疫情关系，产生了很特殊的市场环境，网购成为减少病毒传播的有效方法... ", 陈筠
2021年1月7日,"
《台湾关系法》主要推手吁美国与台湾展开“乒乓外交”
",他说，《台湾关系法》制定时在国会为台湾发声的都是自由派，而一些共和党的保守派却没有投下赞成票... 对此，沃尔夫表示，《台湾关系法》立法当时特意在许多条文上保持文字的模糊，是为了能得到两党更多人的支持，让行政当局能够接受、总统愿意签字，同时也让美国政府能在与中国发展关系时不至于引起太多波折，不过由于最近中国对台湾的强硬作为，他认为美国的确应该对那些模糊之处... , 锺辰芳
2021年1月6日,"
美学者吁建立“危险区”近程策略防范北京对台动武
",新一年才开始不到一星期，除了元旦当天外，台湾国防部数据显示，中国解放军对台湾西南部空域的侵扰没有停止过，关注台海情势的美国学者专家对此现象也越来越为担忧... 一个新发布的报告说，未来5到... 这份名为“进入危险区：美中关系即将到来的危机”的报告指出，美中之间的大国竞争或许并非一场百年马拉松，而是一个为期十年的“冲刺”(sprint)，未来10年中国可能在其实力达到巅峰... , 锺辰芳
2021年1月5日,"
中共军机新年扰台频率不减 去年侵扰台西南空域创纪录达380架次
",台湾国防部智库国防研究院在年底发布的年终报告《2020中共年报》中指出，受美中关系的持续恶化，台美关系升温等因素影响，中共大幅度增加了在台海区域的军事活动，特别是中国军机对台湾西南空域的... 台湾国防部发言人史顺文说，中共从未放弃武力犯台，军事的一些威胁行动持续进行，包括派遣机舰侵扰台湾西南海空域，运用灰色地带手段，进行施压、挑衅，严重冲击区域情势与两岸和平... , 美国之音
2021年1月3日,"
台国防部智库：2020年中共军机侵扰台湾力度加大恐事与愿违
",报告指出，2020年美中台关系变化是造成中共对台政策变化的主要原因，尤其是下半年台美关系升温，如美国卫生部长、国务次卿访台及对台军售等，使得中共加强军事威吓力度来遏止其所谓的“台独... 报告认为，中共对台湾的强硬作为不仅无助于争取台湾民心，也是让两岸越走越远的始作俑者... , 美国之音
2021年1月2日,"
北京称蔡英文新年讲话意在谋“独”
",朱凤莲说：“造成当前台海两岸关系紧张动荡的根源，是民进党当局拒不承认体现一个中国原则的‘九二共识... 她说，两岸关系的稳定，“已经不只是台海两岸关注的议题，更是攸关印太区域稳定的议题，而且已经是全球焦点... 蔡英文说，北京在台海频繁活动被视为对美台进一步强化关系的回应... 中国国台办发言人朱凤莲则指责台湾民进党破坏两岸关系，不断谋“独”挑衅，制造两岸对立... , 美国之音
2021年1月2日,"
中国军机新年伊始扰台 台空军广播予以驱离
",台湾总统蔡英文1月1日发表新年讲话，向中国大陆释出和解善意... 蔡英文说，只要北京有意愿改善两岸关系，台湾愿意在对等原则下进行有意义的对话... 蔡英文在新年讲话中有关两岸关系的表述被认为是再度向北京当局抛出橄榄枝... 不过，中国当局并没有表现出停止派遣战机进入台湾防空识别区的迹象... 蔡英文说，北京当局此举“不仅冲击两岸关系，更是对印太地区和平稳定的现状，造成威胁... , 美国之音
2021年1月2日,"
中国新年伊始再提“统一台湾” 台陆委会：拒绝中共“一国两制”
",2021新年伊始，台湾和中国大陆有关部门针对两岸关系分别表态... 而刚刚上任不到不到一个月的中国全国台湾研究会会长汪毅夫12月29日在两岸关系研讨会上表示，中国大陆对台湾的大政方针中有几项坚决不能动摇，包括坚持“一个中国”原则、坚持“九二共识... 台湾陆委会表示，北京当局近日一再宣传单方面期待的对台政治主张，同时不断以军事外交威吓打压及社会渗透分化，刻意制造两岸对立... , 美国之音
2021年1月1日,"
蔡英文：愿意与北京当局促成有意义的对话
",“两岸关系的稳定现在已经不只是台海两岸关注的议题，更是攸关印太区域稳定的议题而且已经是全球焦点“，台湾总统蔡英文在新年谈话中表示只要北京有意愿改善两岸关系，台湾愿意在对等原则下进行有意义的对话。过去一年里，中国军机和军舰在台湾附近频繁活动，加大了对台湾施压。蔡英文说，北京当局此举“不仅冲击两岸关系，更是对印太地区和平稳定的现状，造成威胁。”,
