时间,标题,内容,记者
2021年6月1日,"
海峡两岸疫苗问题上为何谈不拢？
","海峡两岸民意“一拍即合”
北京联合大学台湾研究院两岸关系研究所所长朱松岭（朱松岭提供）
北京联合大学台湾研究院两岸关系研究所所长朱松岭在接受美国之音采访时表示，台湾去年的口罩禁出口令，对疫情当中的大陆落井下石，伤了两岸人民的感情... 这次在疫苗问题上出现争议，是因为两岸在政治上的对立，影响到中国社交媒体上的看法，并不代表主流民意... ", 陈筠
2021年5月31日,"
中国与台湾再就疫苗议题对呛，互批“政治操作”
",中国当局与台湾民进党政府在疫苗问题上的隔空交火似乎有愈演愈烈之势... 继北京的外交部发言人赵立坚日前声称，台湾从日本取得AZ疫苗是“借疫苗‘谋独’不会得逞”之后，另一位中国外交部发言人汪文斌周一（5月31日）除置疑日本是否有足够的疫苗提供给台湾外，还表示疫苗不应成为“政治工具... 一时间，疫苗不仅成为民众关注的焦点，而且也成为台湾朝野以及台海两岸争吵与攻防的议题... , 松仁
2021年5月28日,"
中共认知作战的表与里 扰台防疫又推销疫苗？
",台湾国安情资显示，中国疑似下令对台湾发动认知作战，借着台湾目前本土疫情日趋严重，利用假讯息等手段企图扰乱民心... 然而长期观察中共对台政治作战的专家对此作出不同的分析... 中共认知作战的表与里... 你看它最终目的就是要唱衰(台湾)；第二个是它今年开始有疫苗，有疫苗之后它就说疫苗配合两岸融合，所以它是软硬两手；另外就是在中国这边的台湾人可以给疫苗，这个之前就有，不是现在才有... , 向凌
2021年5月27日,"
时事大家谈: 台湾疫情再起，抗疫成美中台博弈新舞台？
",第二波新冠疫情在台湾肆虐之际... 台湾的新一轮疫情对台海两岸关系会产生什么样的影响... 周志杰分析，鉴于美台关系，尤其是台湾对于美台关系的投入和付出，台湾民众期待看到美国为台湾即使争取到疫苗... 所以我们这一届政府为了拉近台美关系，因应中共对台军机绕台和两岸关系紧张，对美关系下了非常大的工夫，也做了很多片面的让步，这个时候台湾的百姓会引颈期盼，看看华府，特别是拜登上台之后对... , 林枫
2021年5月27日,"
时事大家谈: 台湾疫情再起，抗疫成美中台博弈新舞台？
",第二波新冠疫情在台湾肆虐之际，美中两国在台湾防疫的议题上展开了新一轮的交锋。美国卫生部长贝西拉(Xavier Becerra)在参加世界卫生大会(WHA)时再次公开呼吁，让台湾参加世卫大会，并启动第二阶段新冠病毒溯源调查。他表示，调查必须透明，并给予国际专家充分独立性，全面评估病毒起源及疫情早期情况。与此同时，北京借台湾新冠疫苗供应紧缺之机，向台湾发起“疫苗攻势”。中国国台办日前表示，北京方面愿意向台湾提供新冠疫苗，并派遣疫情防控专家向台湾医护人员分析抗疫经验。但在此之前，北京再次阻挠了台湾参加世界卫生大会。台湾的新一轮疫情对台海两岸关系会产生什么样的影响？美中两国围绕台湾抗疫和新冠病毒溯源的“攻防战”如何影响台海局势发展？, 林枫
2021年5月27日,"
台湾外交官：中国主导游戏规则使世卫组织成为其“守门者”
","欧盟在一中政策下发展与台关系
高哲夫说，有27个成员的欧盟在一中政策下发展与台湾的关系，尽管外交上承认中国是唯一合法政府，不过台湾是欧洲重要的理念相近伙伴，共享民主、法治、人权、国际... ", 锺辰芳
2021年5月26日,"
台湾参加世卫大会再受阻，美日加英澳会中发声齐挺台
",随着第74届世界卫生大会的召开，台湾参与今年世卫大会的希望再度落空，这也是台湾连续第5年被世卫大会拒于门外，美国、日本、加拿大、英国、澳大利亚等国家卫生官员在世卫大会发言表达支持台湾参与的立场，并强调抗击新冠疫情及其他公共卫生挑战需要全球伙伴的合作，“我们必须邀请台湾作为观察员成为世卫大会的一部分... 本届世卫大会星期一(5月24日)在日内瓦以视讯会议方式揭开... , 锺辰芳
2021年5月25日,"
台海升温中民主台湾面对中国威胁做出什么选择？
",政治领导人在各种政策的优先顺序上做出选择后，某些政策的开支增加，就表示其他政策的开支会因此而减少，因此他说，如果能对这些议题多一些了解，或许也有助于理解台湾领导人处理两岸关系的态度... 对两岸关系来说，卜睿哲表示，台湾的民主化也带来“百花齐放”的效果，例如在1992年台湾独立已经不再是违法的话题，一些本土政治人物便利用台湾认同感和民族主义来取得权力，而“这些趋势都... , 锺辰芳
2021年5月24日,"
台湾抗议中国阻挠其参与世界卫生大会
",世界卫生大会（WHA）线上会议于星期一（5月24日... 台湾从未一日属于中国，也从未接受其片面设定的“一个中国原则”，“中共以错误引用联大及世卫决议等矮化台湾、误导国际社会，已对台湾民众健康权益造成伤害，其不负责任的行径无助两岸关系发展... “我们也正告中共当局，两岸关系发展的本质是互相尊重、善意理解，不是将单方设定的‘政治框架’强加于另一方、凌驾‘健康人权’之上... , 美国之音
2021年5月22日,"
洪都拉斯打“疫苗牌” 谁愿意给就跟谁打交道
","美中台在拉美的博弈
台湾国立政治大学国际事务学院外交政策研究中心主任黄奎博表示，虽然疫情给了中国介入的机会，但也凸显两岸关系才是外交关键... 黄奎博对美国之音说：“疫苗当然让很多外交战略考量出现变化，但是再怎么样的变化追根究底就是因为两岸关系垮掉了，所以两岸在外交上就变比较接近‘零和竞赛’、‘零和游戏’的模式，这样的模式吃亏的就会是比较小这... ", 陈筠
2021年5月22日,"
台湾指责中国散播有关新冠肺炎疫情的假消息
",一位台湾官员周六(5月21日)指责中国散布有关新冠肺炎疫情的虚假消息，称这就是政府宣传和驳斥网上流传的虚假信息的原因... 在控制了数月的大流行之后，台湾正在应对家庭感染的激增，整个台湾处于高度戒备状态，人们被要求留在家中，许多场所被关闭... 中国一直声称民主治理的台湾是其一部分... 而台湾官员周六指责中国散布有关新冠肺炎疫情的虚假消息，试图利用“认知战争”来破坏对政府的信任... , 美国之音
2021年5月21日,"
香港回应驻台办事处停运 指责台“粗暴干预”香港事务
",香港政府日前宣布驻台... 香港政府发言人星期五（5月21日）表示，作出上述安排是因为台湾多次粗暴干预香港事务，对港台关系造成了无可弥补的伤害... 根据港府发出的新闻稿，政府发言人表示，港台关系是两岸关系的特殊组成部分... 发言人还说，台湾近年来的一系列行动已严重破坏港台关系，令经贸文办在台湾的运作环境日趋恶化... 自从去年6月30日北京在香港强推国家安全法以来，台港关系不断恶化... , 美国之音
2021年5月15日,"
台陆委会：以国安法冻结私人资产加大香港商业风险
",台湾政府周六（5月15日）警告说，香港当局首次以国安法名义冻结私人资产的行动，增加了这个国际金融中心的商业风险... 台湾陆委会在一份声明中表示，没收资产突显了《香港国安法》对香港人民财产构成的威胁，“这相当于向国际社会宣布，香港的商业风险在增加... 陆委会再次呼吁有关方面停止打压香港民主派，否则会偏离民意... 在台湾方面发出这个警告之前，香港保安局局长李家超周五依据港区国安... , 美国之音
2021年5月15日,"
解放军频频军演恫吓台湾 未来作战手法或大幅改变
",两岸紧张局势加剧之际，中国人民解放军军机本周连日袭扰台湾邻近空域，并接连释出多兵种实兵演练以及两栖登陆演习视频，恫吓台湾意味浓厚... 军事战略与安全专家说，自2025年起，解放军对台湾... 一位不愿具名的中国军事专家告诉美国之音，台湾的海空联合防卫体系具有相当水准，令解放军不敢轻易进犯，除非台湾军民士气低落、一战即溃，否则纯粹就两岸战力分析，解放军并无速战速决的把握... , 陈筠
2021年5月15日,"
美国务院发言人：美“绝对支持”并将继续推动台湾参与世卫大会
",在世界卫生组织(WHO)的决策机构世界卫生大会(WHA)很快将要召开年度会议之际，美国国务院发言人内德·普赖斯星期五(5月14日)在接受美国之音专访时表示，美国“绝对支持”台湾作为观察员出席即将召开的世界卫生大会... 针对北京有关华盛顿的这种支持违反了“一个中国”原则的指责，这位发言人... 以与公共卫生毫无关系、与病毒毫无关系的理由排除任何一个特定参与者都是没有道理的... , 莉雅
2021年5月14日,"
拜登对台政策撼动“一中”鲁莽危险？美专家：对抗中国威胁必须自我防卫
",许多人视为极其危险，美国应该避免任何正式改变台海政策的宣示，并且在未来美中很可能维持紧张竞争关系的一段长时间中，“对美国的‘一中政策’使用广泛及灵活性的诠释”，继续以近年来的稳定及渐进式的方式来加强与台湾的关系... , 锺辰芳
2021年5月14日,"
台湾邦交国洪都拉斯拟在中国设办事处购买疫苗 美国谴责出于政治而利用疫苗
",美国国务院表示，美国与洪都拉斯站在一起，并谴责出于政治目的而“玩世不恭地利用”新冠疫苗... 在此之前，台湾抨击中国... 洪都拉斯是与台湾维持外交关系的少数拉美国家之一... 几个拉美国家目前得到了中国的疫苗，但是洪都拉斯和危地马拉等与实行民主体制的台湾维持着邦交关系的国家却没有... 这位发言人说：“台湾与包括洪都拉斯在内的该地区国家的关系，增强本半球的民主价值观并支持可持续的发展... , 美国之音
2021年5月13日,"
美日台议员将举行三边“战略对话” 提升台湾“入世”的势头
",日本和台湾的消息来源说，日美... 2016年，在民进党人蔡英文当选总统后，北京与台北政治关系恶化，台湾此后一直被排斥在世卫组织的这个决策机构之外... 古屋圭司是日本国会中一直主张加强日本与台湾关系的知名议员... 三方议会之间的沟通和交流被认为可以达到加强相互之间关系的目的，而又不会公开对中国构成挑战... 预计，这次对话还会涉及台湾加入由11个国家组成的跨太平洋合作伙伴关系自贸协定... , 木风
2021年5月13日,"
专访美中军事战略问题专家梅慧琳：谈美中军事博弈
",如同台湾问题本身一样，台湾海峡两岸的军事态势也是错综复杂，不但其他国家的公众难以看清楚，而且台湾海峡两岸的公众也看法不一... 但绝大多数台湾人则认为，美国政府已经反复发出信号表示反对北京武力改变台湾海峡两岸关系现状，北京清楚军力强大的美国的反对态度，因此不敢对台湾动手... 我对中国产生了强烈的兴趣，我后来意识到美国需要了解中国的人来协助管理美国和中国的关系... , 金哲
2021年5月12日,"
共和党议员：拜登官员指改变台海战略模糊会造成不稳是在附和中共
",拜登行政当局的高级官员近日表示，美国假如在台湾安全问题上放弃"战略模糊"，会造成台海局势的不稳定... 对此，国会共和党议员批评说，这样的表态是在附和中国共产党政府试图推动的叙事... 众议院外交委员会首席共和党成员麦考尔(Michael McCaul)及亚太小组委员会首席共和党成员夏伯特(Steve Chabot)表示，白宫国家安全委员会印太事务协调员坎贝尔(Kurt... , 锺辰芳
2021年5月11日,"
台湾称将继续争取参加世卫大会 中国“妥善安排”悖离事实
",台湾星期二（5月11日）表示，虽然报名时间已截止，但仍将继续努力争取参加世界卫生大会（WHA... 台湾还表示，中国声称对台湾参与全球卫生事务做出“妥善安排”完全是“悖离事实”的... 第74届世界卫生大会将于5月24日召开，世卫组织会员国及观察员需在星期一完成网络报名，但台湾仍未收到邀请函... 这已经是台湾连续第五年未收到邀请... 据中央社报道，台湾卫生福利部部长陈时中星期二表示... , 美国之音
2021年5月11日,"
北京称蔡英文丹麦民主峰会讲话为“政治闹剧” 丹麦外相说普世价值观越受压力越要站稳
",丹麦外交大臣与台湾总统蔡英文星期一(5月10日)一道在哥本哈根民主峰会上为民主价值观进行了辩护... 中国则把这次峰会斥为一场“政治闹剧”，并指责它干涉中国的内政... 丹麦外交大臣耶珀·科弗德(Jeppe Kofod)星期一在民主峰会上发表了“把民主作为核心价值观来进行辩护”的主旨演讲... 他谴责中国最近对欧盟实施的制裁是“恶劣的”，并... 但从那以后，丹麦与中国的关系有了显著改善... , 莉雅
2021年5月10日,"
习近平的“战略机遇期”促使台海“热区”步步升温？
",他强调，不能从大陆内部的政治发展来找两岸关系的危险因素，而是要从两岸关系的问题思考两岸紧张局势的因果关系... 所以，中共领导高层没有做出这样的决定，因为军事解决最后牺牲的是两岸人民... 包承柯认为，习近平考量到未来的两岸关系，还是会希望通过和平方式处理，而不是动不动就采取军事手段来解决两岸分歧，包承柯说：“这是大陆的善意... , 陈筠
2021年5月9日,"
中共出台反间谍新规 外企经营更具挑战性
","中共出台反间谍新规 外企经营更具挑战性
反间谍... 吴斯怀还表示，近年来，中共搞出的涉及两岸和其他国家的一些所谓“间谍案”，基本上都是为了政治炒作，无关真正意义的间谍活动... 包明德对美国之音表示，尽管“反间谍安全防范工作规定”的出台在某些程度上受到中美关系状态的影响，但是，作为研究者的他并不感到惊讶，因为，这些规定为中共国安机构在相关法律基础上提出了... ", 海彦
2021年5月8日,"
布林肯: 美国呼吁世卫总干事邀请台湾参加世界卫生大会
",说，台法近年来在经贸、科技、能源及创新等领域密切合作，建立双方密切及互相信赖的伙伴关系，台湾将持续深化双边合作关系，并努力为台湾参与多边体系创造更丰富有利条件，“不断具体实践‘台湾可以帮忙，全世界也应该让台湾... 尽管台湾防控疫情的表现得到国际社会赞许和肯定，但中国政依然府坚持台湾不是主权国家，参与国际组织必在须符合一中原则的基础上经由台海两岸协商才能安排... , 锺辰芳
2021年5月7日,"
台湾半导体实力成“矽盾”，中国避战？
",全球芯片严重短缺，使得台积电... 台湾的“矽盾”关系到全球规模庞大的产业利益，但有了“矽盾”，台湾到底是全世界最安全的地方，还是全世界最危险的地方呢... 他说，台湾跟中国大陆的关系是内部关系，跟美国没有关系... 他说，美国不该拿“矽盾”、台积电、甚至美台升温的关系来炒作两岸的发展... 他认为，两岸人民都不愿意打仗，但如果美国威胁到他国的主权、领土的完整，可能就会逼得中国不得不开战, 黄丽玲
2021年5月7日,"
如何避免美中为台湾而战？美学者十年后再提弃台论 被讽应“改行”
",一些学者专家试图提出解方... 复旦大学台湾研究中心主任信强在美国外交政策全国委员会最近发布的论文汇编撰写了关于台海两岸关系的文章，认为“基于三方在政治原则及战略利益上有长期的根深蒂固的结构性分歧，在可预见的未来，预期三方能有一个正和发展框架的光明未来是困难，甚至不可能的”，但三方应该能追求低端目标，例如降低紧张、防范事故及更好的危机管控，以避免两岸形势坠入深谷... , 锺辰芳
2021年5月6日,"
七国集团支持台湾在世卫大会的观察员地位
",在世界卫生大会于5月24日至6月1日举行 年度会议 前夕，世界主要工业化国家公开表示支持台湾在世界卫生大会的观察员地位... 世界卫生大会是世界卫生组织的决策机构... 这是七国集团首次作为一个整体支持台湾... “我们强调台湾海峡和平与稳定的重要性，并鼓励和平解决两岸问题... 从2009年到2016年，在北京和台北关系相对友好的时期，台湾代表以无表决权的观察员身份参加了世界卫生大会... , 张蓉湘
2021年5月5日,"
台湾卫福部长发文美刊 呼吁接纳台湾参与世卫大会
",美国《外交学者》杂志5月4日刊发台湾卫生福利部部长、中央流行疫情指挥中心指挥官陈时中的文章... 陈时中在文章中称赞台湾在抗击新冠病毒肺炎过程中取得的成功，呼吁世卫组织接纳台湾参与世卫大会... 陈时中这篇文章的题目是：《无论是抗击新冠肺炎还是下一次大流行，台湾都可以提供帮助... 陈时中在文章中指出，台湾应对冠状病毒疫情是世界上最成功的案例之一，并强调台湾不能置身于全球卫生网络... , 美国之音
2021年5月5日,"
美官员称美日将合作维持台海现状
",美国印太政策协调员库尔特·坎贝尔(Kurt Campbell... 放送协会(NHK)报道，坎贝尔在英国《金融时报》主办的一场讨论会上表示，中国在台海加大了挑衅力度，而美国必须在公开声明中明确表示，它关注这个问题，并准备维持台湾海峡两岸的和平与稳定... 美国总统拜登和日本首相菅义伟上月在举行峰会后发表了联合声明，声明中提及了台湾，并强调了台湾海峡两岸和平与稳定的重要性... , 美国之音
2021年5月5日,"
坎贝尔：美若在台湾问题上实行“战略清晰”有“重大不利面”
",美国印太政策协调员库尔特... 坎贝尔(Kurt Campbell)周二(5月4日)似乎拒绝了有关美国应明确表明假如中国攻击台湾时美国愿意保卫台湾的呼吁，称这种做法有“重大不利面... 当被问到这一... 周二在接受《金融时报》主编鲁拉·哈拉夫(Roula Khalaf) 采访 时谈到台湾问题时说，美国多年来一直以符合“一个中国”政策、《台湾关系法》、三项公报和六项保证的方式行事... , 莉雅
2021年5月5日,"
台日军舰联手跟踪中国军舰？台防长：台军全时监视中共舰机
",台湾和日本军舰星期六(5月1日)联手跟踪一艘在他们各自海域附近航行的中国护卫舰... 美国《新闻周刊》5月4日报道说，日本防卫省星期六表示，中国海军护卫舰“滨州”号前一天(4月30日)通过宫古海峡进入西太平洋... 日本海上自卫队后来部署了一艘阿武隈级护航驱逐舰（Abukuma-class destroyer escort）和两架海上巡逻机... 当时这艘中国军舰正通过台湾和日本... , 美国之音
2021年5月4日,"
蔡英文获“约翰·麦凯恩公共服务领袖奖” 其领导能力获肯定
",台湾总统蔡英文获得哈利法克斯国际安全论坛2020“约翰·麦凯恩公共服务领袖奖... 哈利法克斯论坛推特账户在美国东部时间5月3日晚播放的一段视频中宣布蔡英文获得该奖，以表彰她在捍卫台湾民主和反对中国侵略方面... 他说，加拿大应认识到台湾问题高度敏感，慎重妥善处理涉台问题，避免进一步破坏双边关系... 自2018年华为高管孟晚舟在温哥华被捕后，渥太华和北京之间的关系近年来急剧恶化... , 美国之音
2021年5月4日,"
台积电称6月底前或能满足市场最低汽车芯片需求
",台积电（TSMC）董事长刘德音星期日（5月2日）表示，预计6月底前能够满足客户对汽车芯片的最低需求... 刘德音在接受美国哥伦比亚广播公司（CBS）“60分钟”（60 Minutes）节目采访时说，他们去年12月听说了芯片短缺的消息，一月份时就试图为汽车制造商赶工出尽可能多的芯片... 他说：“现如今我们认为进度领先了两个月，预计6月底前可以满足客户的最低要求... , 美国之音
2021年5月3日,"
中国籍男子“畅通无阻”偷渡台湾 台国防部称海军海巡“确有缺失”
",一名中国籍男子日前驾驶橡皮艇从福建成功偷渡台湾... 由于这名男子上岸后才被发现，台湾国防部长邱国正星期一（5月3日）表示，海军、海巡平常都有相关协定，此次确实有缺失，需找出原因并改进... 这名男子一路畅通无阻，从台中港上岸后才被施工人员发现报警... 台湾《自由时报》报道说，这名周姓男子自称在大陆没有犯案，也不是通缉犯，从福建到台湾是要投奔民主和自由... 这名男子目前已被带至海巡... , 美国之音
2021年5月2日,"
全球芯片荒促使中国将目光转向台湾
",台湾有世界上最大、最先进的微芯片制造业，而中国消费着其中超过一半的芯片，其需求也随着经济增长而不断加大... 有分析担心，当前的全球“芯片荒，加之美国对中国实施技术出口的制裁，令中国将目光转向台湾，甚至可能促使中国武力犯台... 在福克斯财经新闻周六的一则电视报道中，华盛顿智库新美国安全中心（Cener for a New American Security）的高级研究员... , 美国之音
2021年5月2日,"
日台关系提升惹怒北京，中国国防部：非常危险
",中国国防部周六（5月1日）对日本近日发布的外交蓝皮书作出强烈回应，警告日本把台湾称为“极为重要的伙伴... 外交蓝皮书是日本外务省一年一度发布的一份政府报告，介绍日本外交关系的发展和日本在主要外交议题的立场... 日本和中国这两个亚洲最大的经济体在最近几个月里关系急剧恶化... 今年的日本外交蓝皮书还首次把美中关系单列为一部分，并明确表示，日本将与美国加强合作遏制中国的军事扩张... , 美国之音
2021年5月1日,"
白宫国安顾问：已向中国表明不可单方面改变台海现状
",沙利文说，拜登政府在台湾议题上的立场非常明确，也已经对北京做了清楚表态，那就是美国将持续遵守一个中国政策并充分落实《台湾关系法》和六项保证，这是美国两党数十年来在美中关系上的共识... 是否有必要采取具体行动协助台湾抵御中国的咄咄逼人作为，沙利文表示，他认为美国必须继续遵守《台湾关系法》的义务，提供台湾防卫上的协助以便台湾能有自卫的手段和能力，但他认为印太地区其他... , 锺辰芳
2021年5月1日,"
焦点对话: 专访前美国国务次卿克拉奇: 我绝不会向习近平屈膝
","如果你看看我在国务院的战略，我在参议院的确认听证上说过，它实际上是利用美国最大的三个竞争优势：即加强我们与盟友和朋友的关系，利用私营部门的创新和资源，并扩大民主价值观的道德高地... 访台之行是美台经济繁荣伙伴关系的催化剂
记者：去年九月您成为1979年以来访问台湾的最高级别的国务院官员... 记者：我们知道，近几个月来，台湾海峡两岸的紧张局势实际上已经大大加剧... ", 樊冬宁
2021年4月30日,"
台外长：中共没有统治台湾一天，如若犯台 台湾将战斗到底
",台湾外交部部长吴钊燮表示，中共没有统治过台湾一天，中共如果武力犯台，台湾将会进行自卫，战斗到底... 吴钊燮是周四（4月29日）在接受英国天空新闻（Sky News）电视台采访的时候发表这些言论的... 在采访中，吴钊燮回答了英国记者就中国军事威胁、两岸关系现状以及台湾与英国关系等内容提出的问题... 在谈到中共军队近期在台海周边频繁的军事动作的时候，吴钊燮表示，“台湾是我们的... , 木风
2021年4月27日,"
澳大利亚官员提醒民主国家：战争的鼓声已经敲响
",澳大利亚官员提醒人们，爆发战争的可能性正在增加，自由民主国家需要为战争做好准备，并在全球紧张局势加剧之际寻求和平... 上星期日（4月25日）是澳大利亚和新西兰纪念一战阵亡将士的澳新军团日（Anazac... 路透社说，佩祖罗没有具体说明他发出警告的原因，但此前，澳大利亚与中国的关系急剧恶化，台湾问题也使得地区紧张局势加剧... 中国则称“恪守一个中国原则是中澳关系的应有之义... , 美国之音
2021年4月27日,"
澳大利亚新防长：“不应低估”台海冲突的可能性
",澳大利亚国防部长彼得·达顿(Peter Duton)星期天（4月25日）表示，“不应低估”在台湾问题上与中国发生冲突的可能性... 达顿又说，澳大利亚将与该地区的盟友合作，努力维护和平... 达顿星期天接受澳大利亚广播公司(ABC)采访时指出，中国... 澳大利亚总理莫里森去年4月呼吁国际社会对武汉病毒源头展开独立调查以后，北京对澳大利亚采取了范围广泛的贸易报复，两国关系持续恶化... , 美国之音
2021年4月26日,"
英伊丽莎白号航母将于下月启程前往亚洲 加强印太安全关系
",英国皇家海军“伊丽莎白女王”号（HMS Queen... 英国国防部在一份声明中说：“与新加坡、韩国、日本和印度的接触将为加强我们的安全关系、加强政治关系和支持英国出口和国际贸易议程提供机会... 美国总统拜登与日本首相菅义伟本月会晤后发表了联合声明，声明中说，二人就中国的行动对印太地区乃至世界和平与繁荣的影响交换了意见，强调了台湾海峡两岸和平与稳定的重要性... , 美国之音
2021年4月25日,"
美日大戳痛处，中国为何轻轻放过？
",美日双方领导人日前在白宫举行峰会，并在会后发表联合声明，双方就南... 目前拜登面对内政上强调“买美国货”或“美国制造”的尴尬处境，特别是特朗普离开TPP后又未与日本在双边贸易协议上有太大进展时，日本在前首相安倍的引导下，在多边贸易伙伴关系方面遥遥领先... 在最具争议性的台海问题上，石原忠浩指出，日本秉持一中原则，持续强调和平解决两岸问题的立场，以期待将来和平对话的机会... , 向凌
2021年4月21日,"
菅义伟称日本不会军事介入台海冲突
",美国和日本领导人在上周会晤后发表的联合声明中强调了台湾海峡两岸和平与稳定的重要性... 另据日本放送协会报道，另一位在野党议员称联合声明中“和平解决两岸问题”的呼吁可能会改变局势... 《南华早报》还报道说，日本亚细亚大学（Asia University）国际关系教授伊藤裕子（Yuko Ito）认为菅义伟目前被日本宪法中的“放弃战争”条款束缚住了手脚，日本宪法只允许... , 美国之音
2021年4月21日,"
海上军力擂台越筑越高 台湾获美日等盟友鼎力支持
",最近，中国在台湾海域频频军演，导致台海紧张局势加剧，并直接牵动了美日同盟与中国的海上军力擂台... 美日明显意识到中共对台湾的威胁日益升高，在外交与防卫上对台海安全均有划时代的积极... 他强调，美中关系恶化，台湾的战略地位就更显重要，美国对台湾安全保障的可信度也就提高... 中美关系不佳，台海两岸对立，则以美国为首的盟友的区域延伸连接性和凝聚力就会提升，台湾对自身安全便越具信心... , 向凌
2021年4月21日,"
美两党议员提出法案 支持台湾国际参与
",《台北法》要求美国行政部门协助台湾巩固邦交、参与国际组织以及增强美台双边经贸关系... 匡希恒在一份声明中说，《台湾盟邦国际保障与强化倡议法》“大大加强了我们与台湾的关系”，但自从去年签署该法案以来，中国向国际组织施加压力，要求它们声称台湾是中国的一部分... “新法案在某种程度... 拜登上周还与日本首相菅义伟会面，美日在会后发表的联合声明中也强调了台湾海峡两岸和平与稳定的重要性, 美国之音
2021年4月20日,"
时事大家谈: 北京“剿杀”下 香港未来在何方？
","包括黎智英和李柱铭在内的七名香港最知名的民主派... 一个内地的普通城市，实践是检验真理的唯一标准，我相信这个做法不光是毁掉香港的‘一国两制’，而且也对台湾海峡两岸的和平发展、和平统一，令台湾同胞的抗拒感就越来越强烈，吸引力越来越减弱... 香港民主思路一国两制指数再创新低 国际关系紧张预期评分趋势下滑
本期时事大家谈完整版： 北京“剿杀”下 香港未来在何方... ", 林枫
2021年4月20日,"
拜登首次对台军售武器据信是帕拉丁型自走炮
",有报道称拜登政府将首次对台军售，出售的军备为M109A6（Paladin）帕拉丁型自走炮... 台湾国防部长邱国正回应说目前尚未获美国正式通知... 台湾媒体《联合报》最先报道了拜登政府即将对台... 根据《台湾关系法》，美国向台湾提供使其能保持足够自卫能力所需数量的防御物资和防御服务... 拜登上周还与日本首相菅义伟会面，美日在会后发表的联合声明中也强调了台湾海峡两岸和平与稳定的重要性... , 美国之音
2021年4月20日,"
台学者：美日峰会提及台湾的声明有实质内容并非空谈
",台学者：美日峰会提及台湾的声明有实质内容并非空谈... 两岸关系转折变化 中华亚太精英交流协会秘书长王智盛表示，这次美日峰会把台湾放入声明当中，也为两岸关系带来转折和变化... 中共将举行20大，如果习近平把“统一台湾”当成其连任的正当说词，他一定会面对愈加紧密的美日台三边关系，如果中共继续加大对台军事威胁，只会使得两岸关系更加疏离，对峙的气氛也更加浓厚, 张永泰
2021年4月19日,"
台湾希望从美国购买先进的AGM-158导弹加强远程打击能力
",台湾国防部官员表示，台湾仍在寻求从美国获得远程空射巡航导弹... 台湾立法院司法及法制委员会星期一（4月19日）审查台湾国防部相关法案... 国防部战略规划司司长李世强回答质询时做出以上表示... 立法院民进党籍立委赵天麟质询时问道，美国政党轮替后，是否存在台湾方面希望采购，但还没有获得美方通知供售的军备项目以及相关军备项目的进度... 李世强表示，所有经过公告的军售案进度都正常，目前只... , 美国之音
2021年4月19日,"
用“战狼外交”讲中国故事 分析人士：这招不灵
",习近平2012年主政以来，中共一直不断透过各种... 悠野是瑞典的独立记者，从2016年以来一直在台湾报道海峡两岸新闻... 中国驻巴西里约热内卢总领事李扬3月28日甚至发推文辱骂加拿大总理特鲁多，称“你最大的成就就是搞砸了中加友好关系，使加拿大沦为美国的走狗... 2018年底，应美国的要求，加拿大扣押了华为首席财务官孟晚舟，中国随后逮捕了两名在华的加拿大人，两国关系陷入僵局... , 杨明
2021年4月17日,"
美日联合领导人声明 — 美日面向新时代的全球合作伙伴
",我们强调台湾海峡两岸和平与稳定的重要性，并鼓励和平解决两岸问题... 为了认识到这个责任，拜登总统和菅义伟首相启动了美日气候合作伙伴关系... 尽管我们的地区愿景面临挑战，但我们将共同确保我们的安全关系稳定；经过一年的全球磨难，我们的伙伴关系推动了可持续的全球经济复苏；并且我们与世界各地志同道合的合作伙伴合作，领导基于规则的国际秩序... , 美国之音
2021年4月17日,"
美国代表团结束对台湾三天的访问
",多德参议员在代表团星期四对蔡英文总统进行礼节性的拜访时说，这个跨党派的代表团是在拜登总统的要求下成立的，以重申美国对台湾的伙伴关系的承诺，这一伙伴关系“比任何时候都更强有力... 拜登政府还将寻求进一步深化我们业已强劲的经济关系，”前民主党参议员多德说... 代表团还与六位来自不同党派的立法院成员进行了交流，向他们了解台湾人民对两岸关系，包括对“九二共识”的看法... , 美国之音
2021年4月16日,"
台湾去年对中国投资比重大幅减至33%
",台湾行政院长苏贞昌星期四（4月15日）表示，中国作为台湾投资目的地的比重已从2010年的84%骤降至2020年的33%... 台湾中央通讯社报道，苏贞昌在听取台湾国家发展委员会在每周例行内阁会议上的报告后做出上述表示... 他说，经过近几年的调整，台湾的海外投资不再只集中在中国大陆，而是更加分散，符合“不把所有的鸡蛋放在一个篮子里”的基本经济理念... 他补充说，过去，太多的台商... , 美国之音
2021年4月16日,"
焦点对话：美特使访台 拜登对两岸出牌 国际三角棋局逆转？
",美国总统拜登派遣气候特使克里访问中国的同时也派出三位特使--他的好友前美国国会参议院民主党参议员克里斯·多德、小布什政府时期担任副国务卿的阿米蒂奇以及奥巴马时期担任副国务卿的斯坦伯格，以纪念《台湾关系法》42周年的名义访台，并与台湾总统蔡英文会面。拜登对两岸同时出牌如何牵动美中台三角关系？42年前卡特政府“联中制苏”，时至今日，美中台与美中俄这两组三角关系是否出现逆转？ 《焦点对话》主持人樊冬宁邀请人权组织“公民力量”创办人杨建利与政论作家陈破空为您深入解析。, 樊冬宁
